VER.,EQUIPMENT,ID_CLIENTE,ID_CAP,MAT.,CAPS/min,PESO (g),PORTATA (kg/h),ø ESTR.,mouldNo
CCM24SB,10135936,9a07bd6ee3,c5b5346458,PE,450.0,1.9,51.3,45,24
CCM24SB,10135937,48ad93d96b,fb2b44b343,PE,525.0,1.47,46.305,45,24
CCM24SB,10135938,1534d64194,b748591bbd,PE,600.0,1.25,45.0,45,24
CCM24SB,10156038,1534d64194,e3b0c44298,PE,525.0,1.75,55.125,45,24
CCM24SB,10156039,1534d64194,e3b0c44298,PE,525.0,1.75,55.125,45,24
CCM24SB,10156040,8f688eb045,92049da1a7,PE,450.0,1.95,52.65,45,24
CCM24SB,10156041,e2990cf7fa,042d4e27fc,PE,525.0,0.8,25.2,45,24
CCM24SB,10156042,e2990cf7fa,461abd904e,PE,525.0,2,63.0,45,24
CCM24SB,10156043,0490291138,ce8efed725,PE,525.0,1.54,48.51,45,24
CCM24SB,10173630,7bb0e43c9a,bd700bc080,PE,600.0,1.25,45.0,45,24
CCM24SB,10173631,9f057210ec,73085d7d06,PE,450.0,2.1,56.7,45,24
CCM24SB,10173632,6c8382c60f,ce8efed725,PE,525.0,1.54,48.51,45,24
CCM24SB,10173633,358b9ee26c,fe20945572,PP,400.0,2.05,49.2,45,24
CCM24SB,10173634,36331096d3,7b5bde7ab8,PE,500.0,1.75,52.5,45,24
CCM24SB,10173635,d94d2a454f,929756c4c7,PE,375.0,2.9,65.25,45,24
CCM24SB,10197893,2e56ebd28a,b887044fd7,PE,400.0,2.5,60.0,45,24
CCM24SB,10197894,8459731e9f,00ef3f7bcb,PE,525.0,1.75,55.125,45,24
CCM24SB,10197895,0490291138,ce8efed725,PE,525.0,1.54,48.51,45,24
CCM24SB,10197896,fd183a202c,70ecff4208,PE,600.0,2.3,82.8,60,24
CCM24SB,10197897,18d18de210,d35f09fa01,PE,600.0,1,36.0,45,24
CCM24SB,10197898,92b0a2b39a,457e232656,PE,600.0,2.15,77.4,60,24
CCM24SB,10208226,dd84745231,c156f4594c,PE,350.0,2.8,58.79999999999999,45,24
CCM24SB,10208227,8afdd316c0,21e52e63d9,PE,525.0,1.8,56.7,45,24
CCM24SB,10208228,72403e91a2,bd700bc080,PE,550.0,1.25,41.25,45,24
CCM24SB,10208229,82b7d291ea,5d605c6097,PE,420.0,2.6,65.52,45,24
CCM24SB,10208230,e6f2373aa6,21246a60cf,PE,375.0,2.65,59.625,45,24
CCM24SB,10208231,2f927a61d6,d1ff04a9f6,PP,450.0,2.2,59.400000000000006,60,24
CCM24SB,10220232,785afadbea,b887044fd7,PE,600.0,2.5,90.0,60,24
CCM24SB,10220233,34ae58b15f,50c4164b48,PE,550.0,1.8,59.4,45,24
CCM24SB,10220234,4ce4e7b548,5f0fe87d11,PE,400.0,2.65,63.6,45,24
CCM24SB,10220235,c4d2843230,bd700bc080,PE,600.0,1.25,45.0,45,24
CCM24SB,10220236,c9abb15b1f,ce8efed725,PE,525.0,1.54,48.51,45,24
CCM24SB,10220237,46b7313de1,5d4940662c,PE,525.0,2,63.0,45,24
CCM24SB,10246842,3d58af5c15,cf1ef8c298,PE,450.0,2.15,58.05,45,24
CCM24SB,10246843,0726003055,9335c785bc,PE,600.0,1.3,46.8,45,24
CCM24SB,10246845,f3fee5593b,788577624d,PE,490.0,2.17,63.798,45,24
CCM24SB,10246846,a5520bd06d,7b5bde7ab8,PE,525.0,1.75,55.125,45,24
CCM24SB,10246847,a5520bd06d,2b4a763b20,PE,525.0,1.75,55.125,45,24
CCM24SB,10252398,9ec3f742bf,457e232656,PE,600.0,2.15,77.4,60,24
CCM24SB,10252399,29620a2f42,ce8efed725,PE,525.0,1.54,48.51,45,24
CCM24SB,10252400,a11ccb2727,f0ad163de7,PE,525.0,1.65,51.975,60,24
CCM24SB,10252401,f07a0c862c,ee21d6089c,PE,410.0,2.53,62.238,45,24
CCM24SB,10252402,7bb0e43c9a,00ef3f7bcb,PE,525.0,1.75,55.125,45,24
CCM24SB,10252403,594ef252ca,6662167a7e,PE,410.0,2.87,70.602,60,24
CCM24SB,10279951,2db9a2d297,c11524facf,PE,525.0,1.95,61.425,45,24
CCM24SB,10279952,a236375e1c,46b551b3e8,PE,600.0,2.55,91.8,60,24
CCM24SB,10279953,72403e91a2,012b0888cf,PE,600.0,1.25,45.0,45,24
CCM24SB,10279954,6980f178e3,4960f5eaf6,PE,525.0,1.5,47.25,45,24
CCM24SB,10279955,3d104e6574,c5b3962971,PE,575.0,1.25,43.125,45,24
CCM24SB,10279956,0fb35f2569,012b0888cf,PE,600.0,1.25,45.0,45,24
CCM24SB,10302764,d223b249cd,139437fa3b,PE,550.0,1.75,57.75,45,24
CCM24SB,10302765,ab3eb91784,dc655be9c0,PE,600.0,2.2,79.2,60,24
CCM24SB,10302766,e6f2373aa6,b887044fd7,PE,600.0,2.5,90.0,60,24
CCM24SB,10302767,a03989e291,5f0fe87d11,PE,400.0,2.65,63.6,45,24
CCM24SB,10302768,4b33911bee,4cad75714a,PE,550.0,1.54,50.82,60,24
CCM24SB,10302769,dd84745231,139437fa3b,PE,525.0,1.75,55.125,45,24
CCM24SB,10307245,ea7f1ca85d,52d5b05035,PE,188.0,3.5,39.48,45,24
CCM24SB,10307246,5d5d3e4cf9,14ed04d265,PE,500.0,2.65,79.5,60,24
CCM24SB,10307247,ae27dc0dc2,6662167a7e,PE,410.0,2.87,70.602,60,24
CCM24SB,10307249,22c76d89da,7f43540100,PE,525.0,0.8,25.2,45,24
CCM24SB,10307250,4b488b0456,f0ad163de7,PE,550.0,1.65,54.45,45,24
CCM24SB,10369694,05e05cef0f,73085d7d06,PE,450.0,2.1,56.7,60,24
CCM24SB,10369695,b547340abd,c3a67bb93f,PE,450.0,2.1,56.7,45,24
CCM24SB,10369696,b547340abd,c3a67bb93f,PE,450.0,2.1,56.7,45,24
CCM24SB,10369697,4b488b0456,c5b3962971,PE,600.0,1.25,45.0,45,24
CCM24SB,10369698,d697f859f0,70ca361957,PE,410.0,3.1,76.26,60,24
CCM24SB,10369699,6e15cb85e6,391be6b260,PE,525.0,1.75,55.125,45,24
CCM24SB,10426637,a9cd4581df,dc655be9c0,PE,600.0,2.2,79.2,60,24
CCM24SB,10426638,547ba0b912,1f8f7266c9,PE,600.0,2.85,102.6,60,24
CCM24SB,10426639,72403e91a2,d0cccc3815,PE,338.0,2.1,42.58800000000001,60,24
CCM24SB,10426640,72403e91a2,ae806b892c,PP,380.0,2.9,66.12,60,24
CCM24SD,10473460,b547340abd,ea95eebbc9,PE,525.0,1.84,57.96,45,24
CCM24SD,10512613,c36a85376b,474b76f7ca,PE,410.0,2.55,62.73,45,24
CCM24SD,10512614,12e3f9b98f,ea95eebbc9,PE,525.0,1.3,40.95,45,24
CCM24SC,10283542,0fb35f2569,3eb66a432b,PE,675.0,2,81.0,60,24
CCM24SC,10288968,3ea36c71bd,387eacff8f,PE,800.0,1.87,89.76,60,24
CCM24SC,10293953,885c6077f1,d5300f4c05,PE,800.0,1.25,60.0,60,24
CCM24SC,10293954,e85dd82f2a,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SC,10293955,78f259e3e8,c2835d6de1,PE,670.0,2.15,86.43,60,24
CCM24SC,10293956,60a2f2ab05,c2835d6de1,PE,675.0,2.15,87.075,60,24
CCM24SC,10317391,38076eb617,b17135b682,PE,800.0,1.83,87.84,60,24
CCM24SC,10317392,f897b9a710,387eacff8f,PE,800.0,1.87,89.76,60,24
CCM24SC,10317393,67e8f391f4,833a003ce9,PE,800.0,1.85,88.8,60,24
CCM24SC,10317394,d3a3c3ecc2,34f0f5de7c,PE,620.0,1.9,70.68,60,24
CCM24SC,10317395,38076eb617,c2835d6de1,PE,670.0,"2,15",86.43,60,24
CCM24SC,10317396,d223b249cd,b887044fd7,PE,420.0,"2,50",63.0,60,24
CCM24SC,10317397,7b5c19712c,c2835d6de1,PE,670.0,"2,15",86.43,60,24
CCM24SC,10317398,c82679bacf,b4c8a4c4a4,PE,800.0,"1,60",76.8,60,24
CCM24SC,10337222,50fd9ef468,64481f48d0,PE,1000.0,"1,70",102.0,60,24
CCM24SC,10337223,3429439b91,f2b370a5c8,PE,950.0,"1,29",73.53,60,24
CCM24SC,10337224,3e7f5d08ca,9335c785bc,PE,600.0,"1,30",46.8,60,24
CCM24SC,10337225,18d18de210,eeaaa79e0b,PE,670.0,"1,70",68.34,60,24
CCM24SC,10337226,591644ff6d,c2835d6de1,PE,670.0,"2,15",86.43,60,24
CCM24SC,10337227,591644ff6d,c71c8a4601,PE,1000.0,"1,30",78.0,60,24
CCM24SC,10377788,1a09e01b6a,c71c8a4601,PE,1000.0,"1,30",78.0,60,24
CCM24SC,10377789,fa9aa55a73,1198aea4ac,PE,800.0,1.48,71.04,60,24
CCM24SC,10377790,5d5d3e4cf9,7ee22526c1,PE,670.0,2,80.4,60,24
CCM24SC,10377791,9b44c8c9b2,7f3060b8ac,PE,375.0,3.77,84.825,60,24
CCM24SC,10377792,db4e68e574,64ce090261,PE,800.0,1.63,78.24,60,24
CCM24SC,10377793,c7ffba41f4,932518549a,PE,625.0,2.3,86.25,60,24
CCM24SC,10426715,49bb49cbb6,c5b3962971,PE,900.0,1.25,67.5,60,24
CCM24SC,10426716,c698fdee25,ac5b0a8358,PE,800.0,1.7,81.6,60,24
CCM24SC,10426717,36331096d3,d599447955,PE,800.0,1.75,84.0,60,24
CCM24SF,10434030,7bbfcdd149,eeaaa79e0b,PE,720.0,1.7,73.44,60,24
CCM24SF,10434031,7bbfcdd149,2530e7094b,PE,675.0,2,81.0,60,24
CCM24SF,10434032,18d4232e85,387eacff8f,PE,800.0,1.85,88.8,60,24
CCM24SF,10434033,6dd0a888f9,eeaaa79e0b,PE,720.0,1.7,73.44,60,24
CCM24SF,10469461,05e05cef0f,c2835d6de1,PE,675.0,2.15,87.075,60,24
CCM24SF,10469462,9c06610c2e,b53d07bd54,PE,600.0,2.75,99.0,60,24
CCM24SF,10469463,73c7a32370,c2835d6de1,PE,700.0,2.15,90.3,60,24
CCM24SF,10469464,6534b70c33,932518549a,PE,650.0,2.3,89.69999999999999,60,24
CCM24SF,10473457,05ba75b5bb,744a408633,PE,1000.0,0.95,57.0,60,24
CCM24SF,10473458,3e376f8586,60c3dc961a,PE,600.0,2.55,91.8,60,24
CCM24SF,10473459,6415d7b8ee,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SF,10509716,82215f6fea,c2835d6de1,PE,700.0,2.15,90.3,60,24
CCM24SF,10509717,d223b249cd,c5b3962971,PE,900.0,1.25,67.5,60,24
CCM24SF,10509718,6db3a98b2d,56c5b6fece,PE,600.0,2.45,88.2,60,24
CCM24SF,10509719,5dfb9f1aa3,c2835d6de1,PE,700.0,2.15,90.3,60,24
CCM24SF,10509721,52fc262ff8,68471ef059,PE,950.0,1,57.0,60,24
CCM24SF,10541811,1b950a679d,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SF,10541812,b6c157a08d,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SF,10541813,cca8532bc7,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SF,10541814,6980f178e3,28e419e640,PE,900.0,1.03,55.62,60,24
CCM24SF,10541815,ca947c3132,f2b370a5c8,PE,950.0,1.29,73.53,60,24
CCM24SF,10541816,4ae9d7dbdf,315373537f,PE,720.0,1.8,77.76,60,24
CCM24SF,10555471,a38865645c,1c46d5dbee,PE,690.0,2.05,84.86999999999999,60,24
CCM24SF,10555472,e2402874f6,46b551b3e8,PE,600.0,2.55,91.8,60,24
CCM24SF,10555473,53c856e0c9,5e1fdda66c,PE,800.0,1.7,81.6,60,24
CCM24SF,10555474,53c856e0c9,a918b75495,PE,488.0,2.85,83.448,60,24
CCM24SF,10555475,46ab511c41,c2835d6de1,PE,700.0,2.15,90.3,60,24
CCM24SF,10555476,785afadbea,315373537f,PE,720.0,1.8,77.76,60,24
CCM003A,10010784,a1741ac9a2,62697f83e0,PP,500.0,2.45,73.5,60,32
CCM003A,10010785,84f0bc57df,4391114edd,PE,700.0,1.89,79.38,60,32
CCM003A,10010786,07d318ad73,677a4b074d,PE,700.0,1.89,79.38,60,32
CCM003A,10010787,268159908f,f1f3b15130,PP,400.0,2.73,65.52,60,32
CCM003A,10010788,41dd9583e6,7ff721ea04,PE,700.0,1.7,71.4,60,32
CCM003A,10010789,69c1724acc,ef9ecf2a1e,PE,550.0,1.99,65.67,60,32
CCM003A,10012863,9a1a5c89a3,ae806b892c,PP,550.0,2.85,94.05,60,32
CCM003A,10012864,5d66abc5fe,c8856a7592,PP,500.0,2.7,81.0,60,32
CCM003A,10012865,21e901b1d3,d721b955ac,PE,700.0,1.74,73.08,60,32
CCM003A,10012866,b8250f678e,8d4669a8f5,PP,500.0,2.89,86.7,60,32
CCM003A,10012867,5d66abc5fe,c8856a7592,PP,500.0,2.7,81.0,60,32
CCM003A,10012868,7aa5f318ef,a3d50c834f,PP,550.0,3.05,100.65,60,32
CCM003A,10012869,7aa5f318ef,a3d50c834f,PP,550.0,3.05,100.65,60,32
CCM003A,10012870,a1a1a137ce,1d9e8d1249,PP,500.0,2.98,89.4,60,32
CCM003A,10012871,a1a1a137ce,1d9e8d1249,PP,500.0,2.98,89.4,60,32
CCM003A,10012872,f49c6be24d,c97c203554,PP,500.0,2.7,81.0,60,32
CCM003A,10016838,8dd057eee8,2e18a9f8c7,PE,500.0,2.02,60.6,60,32
CCM003A,10016839,f49c6be24d,c97c203554,PP,500.0,2.66,79.8,60,32
CCM003A,10016840,1084515de6,677a4b074d,PE,700.0,2.02,84.84,75,32
CCM003A,10016841,b5dbe400f3,73b787bb01,PE,600.0,2.37,85.32,60,32
CCM003A,10016842,751c8501da,cc852ebc33,PP,500.0,2.8,84.0,60,32
CCM003A,10016843,4f998f19fa,d721b955ac,PE,700.0,1.74,73.08,60,32
CCM003A,10016844,2ae0fbfaaa,c2209598ce,PE,600.0,2.25,81.0,60,32
CCM003A,10016845,1d852d9c2a,3cca6936ed,PE,700.0,2.07,86.94,60,32
CCM003A,10016846,84ac20a6b7,8f5be4c4f3,PE,600.0,2.63,94.68,60,32
CCM003A,10016847,a1a1a137ce,1d9e8d1249,PP,650.0,2.98,116.22,75,32
CCM003A,10016848,8dd057eee8,eb0945e461,PE,600.0,1.8,64.8,60,32
CCM003A,10016849,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10018378,ee5fce2a0f,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10018379,ee5fce2a0f,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10018380,ade21f9c4f,2b4a763b20,PE,700.0,1.74,73.08,60,32
CCM003A,10018381,57194a6541,929756c4c7,PE,500.0,2.84,85.2,60,32
CCM003A,10018382,268159908f,3435d55d7e,PP,550.0,2.84,93.72,60,32
CCM003A,10018383,f16c22334f,af3687f5c8,PE,600.0,2.37,85.32,60,32
CCM003A,10018384,07ac288a80,15cd823001,PP,550.0,2.72,89.76,60,32
CCM003A,10018385,32a46dc2b1,255c094acf,PE,600.0,2.27,81.72,60,32
CCM003A,10019303,ea7f1ca85d,e6dfa767a7,PE,500.0,3.13,93.9,60,32
CCM003A,10019304,1d852d9c2a,c151ac584a,PP,500.0,2.94,88.2,60,32
CCM003A,10019305,751c8501da,cc852ebc33,PP,500.0,2.8,84.0,60,32
CCM003A,10019306,5b465198e6,ae806b892c,PP,500.0,2.85,85.5,60,32
CCM003A,10019307,93c155208f,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10019308,93c155208f,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10019309,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10019310,1d852d9c2a,0ace3fc58c,PE,500.0,2.47,74.1,60,32
CCM003A,10019311,5d66abc5fe,3dfc210fc1,PP,500.0,2.7,81.0,60,32
CCM003A,10019312,5d66abc5fe,3dfc210fc1,PP,500.0,2.7,81.0,60,32
CCM003A,10019313,5d66abc5fe,84a7db2eb5,PP,500.0,1.65,49.5,60,32
CCM003A,10019314,5d66abc5fe,0bb58e53c0,PP,400.0,2.18,52.32000000000001,60,32
CCM003A,10020542,69c1724acc,ef9ecf2a1e,PE,550.0,1.99,65.67,60,32
CCM003A,10020543,0ad81aa291,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10020544,df4562565a,fbff7f671e,PP,550.0,2.94,97.02,60,32
CCM003A,10020545,8008fe197f,b3fe122948,PE,550.0,2.91,96.03,60,32
CCM003A,10020546,257c6fa6ef,ff0f729592,PP,550.0,2.96,97.68,60,32
CCM003A,10020547,257c6fa6ef,ff0f729592,PP,550.0,2.96,97.68,60,32
CCM003A,10020548,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10020549,f5afc2b8ae,c151ac584a,PP,525.0,2.94,92.61,60,32
CCM003A,10020550,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10020551,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10020552,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10020553,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10021470,b4144395b1,64a6ccabf8,PE,550.0,2.83,93.39,60,32
CCM003A,10021471,93c155208f,b66f5843c7,PE,500.0,3.25,97.5,60,32
CCM003A,10021472,aabf5d8680,b1d3eb8f32,PE,500.0,2.85,85.5,60,32
CCM003A,10021473,a1a1a137ce,1d9e8d1249,PE,650.0,2.98,116.22,75,32
CCM003A,10021474,ba58f59072,e38b7602c5,PE,550.0,3.18,104.94,60,32
CCM003A,10021475,0ad81aa291,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10021476,8dd057eee8,12eaa07b88,PE,600.0,2.25,81.0,60,32
CCM003A,10021477,99da32f349,dbdcf4ebcc,PP,530.0,2.68,85.224,60,32
CCM003A,10021478,ae20678d76,3b842f7f20,PE,450.0,3.1,83.7,60,32
CCM003A,10021479,0bca02dd71,ec803a8955,PE,500.0,3.02,90.6,60,32
CCM003A,10021480,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10021481,0ad81aa291,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10022248,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10022249,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10022250,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10022251,a0b74c3b74,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10022252,69bef78a3f,dd8e32d122,PP,500.0,2.85,85.5,60,32
CCM003A,10022253,8dd057eee8,c67796bd14,PP,600.0,2.22,79.92000000000002,60,32
CCM003A,10022254,591b3ab323,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022255,591b3ab323,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022257,69bef78a3f,dd8e32d122,PP,500.0,2.85,85.5,60,32
CCM003A,10022258,ade21f9c4f,f8fc5da3bb,PE,600.0,2.72,97.92000000000002,60,32
CCM003A,10022259,5fa1791bd3,929756c4c7,PE,500.0,2.84,85.2,60,32
CCM003A,10022260,69bef78a3f,dd8e32d122,PP,500.0,2.85,85.5,60,32
CCM003A,10022261,591b3ab323,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022262,591b3ab323,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022263,4f3de4308e,929756c4c7,PE,500.0,2.84,85.2,60,32
CCM003A,10022762,591b3ab323,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10022763,8dd057eee8,c67796bd14,PP,600.0,2.22,79.92000000000002,60,32
CCM003A,10022764,5068eaf1a5,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022765,591b3ab323,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10022766,5068eaf1a5,79bd352d83,PP,470.0,2.78,78.396,60,32
CCM003A,10022767,363720919a,929756c4c7,PE,500.0,2.84,85.2,60,32
CCM003A,10022768,1084515de6,249a0d89fb,PP,450.0,3.36,90.72,75,32
CCM003A,10022769,81b171a381,54dd15730f,PE,500.0,2.8,84.0,60,32
CCM003A,10022770,f1df3b98b0,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10022771,58da9c018f,6c6fef169e,PE,650.0,2.07,80.73,60,32
CCM003A,10022772,bdabaa93f2,15cd823001,PP,500.0,2.8,84.0,60,32
CCM003A,10022773,f1df2a6790,dd8e32d122,PP,500.0,2.85,85.5,60,32
CCM003A,10022774,f1df3b98b0,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10022775,f1df2a6790,dd8e32d122,PP,500.0,2.85,85.5,60,32
CCM003A,10022776,b0ef1b2d5c,01754acb85,PE,500.0,3.0,90.0,60,32
CCM003A,10022777,1fc4122714,cb6c948ed1,PE,550.0,2.35,77.55,60,32
CCM003A,10024363,1583b192c4,f0edc46e43,PE,600.0,2.17,78.12,60,32
CCM003A,10024364,14c773d8a2,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10024365,14c773d8a2,79bd352d83,PP,550.0,2.78,91.74,60,32
CCM003A,10024366,5fa1791bd3,63f02b99a2,PE,600.0,2.0,72.0,60,32
CCM003A,10024367,9bfc7e66d3,05d5e356d0,PP,500.0,2.9,87.0,60,32
CCM003A,10024368,ae20678d76,cfea1835a9,PE,600.0,2.91,104.76,60,32
CCM003A,10024369,69c1724acc,8ec5e661f5,PE,550.0,1.52,50.16,60,32
CCM003A,10024370,1d457cb920,9041e486d8,PE,650.0,2.45,95.55,60,32
CCM003A,10024371,55297f15af,d98e17971a,PP,600.0,2.65,95.4,60,32
CCM003A,10024372,a19ec51919,3ff67a4830,PE,500.0,3.25,97.5,60,32
CCM003A,10024373,b5dbe400f3,43decd35ab,PE,700.0,1.86,78.12,60,32
CCM003A,10024374,b0ef1b2d5c,2bf73f2854,PP,500.0,2.75,82.5,75,32
CCM003A,10024375,2385ade2db,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10024376,2385ade2db,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10024377,9b20d8de40,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10024378,9b20d8de40,2eeb00e1df,PE,420.0,2.65,66.78,60,32
CCM003A,10026518,9fd439c170,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10026519,9fd439c170,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10026520,14c773d8a2,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10026521,14c773d8a2,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM003A,10026522,f5afc2b8ae,01754acb85,PE,500.0,3.0,90.0,60,32
CCM003A,10026523,cefc436ea6,865b632097,PP,500.0,3.03,90.9,60,32
CCM003A,10026524,b8250f678e,8d4669a8f5,PP,550.0,2.89,95.37,60,32
CCM003A,10026525,69c1724acc,8ec5e661f5,PE,550.0,1.52,50.16,60,32
CCM32MA,10026715,93c155208f,b66f5843c7,PE,500.0,3.25,97.5,60,32
CCM32MA,10026716,41dd9583e6,15cd823001,PP,500.0,2.8,84.0,60,32
CCM32MA,10026717,41dd9583e6,15cd823001,PP,500.0,2.8,84.0,60,32
CCM32MA,10026718,5ceeb44d47,356016cd64,PP,550.0,2.95,97.35,60,32
CCM32MA,10026719,92e6c9e3ce,ee76ae112f,PP,500.0,2.9,87.0,60,32
CCM32MA,10026720,e2af85c6bb,ec292fa526,PP,550.0,2.55,84.15,60,32
CCM32MA,10026721,abb795bd72,2e18a9f8c7,PE,600.0,2.02,72.72,60,32
CCM32MA,10026722,abb795bd72,06aa5e627a,PP,450.0,2.75,74.25,60,32
CCM32MA,10031498,14c773d8a2,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM32MA,10031499,14c773d8a2,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM32MA,10031500,abb795bd72,15cd823001,PP,500.0,2.98,89.4,60,32
CCM32MA,10031501,f386bd802a,c151ac584a,PP,500.0,2.94,88.2,60,32
CCM32MA,10031502,abb795bd72,15cd823001,PP,500.0,2.98,89.4,60,32
CCM32MA,10031503,581511d2ca,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
CCM32MA,10031504,581511d2ca,b83d0aa5f0,PE,350.0,3.95,82.95,60,32
